wedding_id,venue,post_url,caption_first_line,model_verdict,confidence,evidence
1,,https://www.instagram.com/p/BHsbVTMgDOb/,Spending the afternoon here in my kitchen working on the design and mood board for our tradeshow booth in New York next ,NOT_WEDDING,0.95,"""working on the design and mood board for our tradeshow booth in New York next month"" — vendor marketing for a trade show, not a wedding."
16,401morganmfg,https://www.instagram.com/p/CAdSzidF43T/,Working with chandeliers and greenery to transform a ceiling helps set the overall tone to any event.,NOT_WEDDING,0.95,"""Working with chandeliers and greenery to transform a ceiling helps set the overall tone to any event."" — generic vendor showcase with no couple, no specific wedding date, no narrative of an actual event."
121,935wilsonabbey,https://www.instagram.com/p/DBF_nWHuRUk/,opening for August Underground at the @asianfashionshowchi @thechicagofashionweek 2024 ❤️‍🔥,NOT_WEDDING,0.99,"opening for August Underground at the @asianfashionshowchi @thechicagofashionweek 2024 -- fashion show performance, not a wedding"
389,_bcollective,https://www.instagram.com/p/DWB5MGqjho9/,thank you for an amazing evening!! I hope you enjoyed our intimate show and thank you to @_bcollective for hosting us in,NOT_WEDDING,0.95,"""thank you for an amazing evening!! I hope you enjoyed our intimate show...celebrating their anniversary!"" — This is a music performance/concert event, not a wedding."
117,acreresidency,https://www.instagram.com/p/C_I_tY6RCEh/,Entering High Holy Days through Creative Practice: A Chicago Event series ,NOT_WEDDING,0.99,"""Entering High Holy Days through Creative Practice: A Chicago Event series"" — multi-day festival of workshops, exhibits, and a maker market; no couple, no wedding ceremony or reception."
993,adlerplanet,https://www.instagram.com/p/DbWOStHGPlL/,Lollapalooza lineups are temporary. Great event design is forever. 🎤,NOT_WEDDING,0.95,"""Lollapalooza lineups are temporary. Great event design is forever."" Vendor marketing matching past events to music festival artists—no couple, no wedding date, no specific event narrative."
1236,aftermidnight.la,https://www.instagram.com/p/Db-LNqui3Ux/,save for 8/13-8/17) raves happening this weekend in chicago ⬇️,NOT_WEDDING,0.99,"Post is a weekend EDM/rave event listing: ""raves happening this weekend in chicago"" with DJ lineups at nightclubs (SubT, The Whistler, Spybar, etc.). No couple, no wedding ceremony or reception."
935,ala.ase_,https://www.instagram.com/p/DbExcIDtCx-/,my first time at @ala.ase_ SMALL CHOP: Sound System Edition with @blacksabbathsound was in August 2025 & i was the impro,NOT_WEDDING,0.95,"""SMALL CHOP: Sound System Edition with @blacksabbathsound... good food, good people, & sweet reggae music"" — a music/social event, not a wedding."
261,alliumchicago,https://www.instagram.com/p/DQ4HCZmjpOv/,"When budget and space allow, I love to add free standing statement pieces. ",NOT_WEDDING,0.95,"""When budget and space allow, I love to add free standing statement pieces"" — generic vendor showcase with no couple, date, or specific wedding narrative."
1059,ambianceontheriver,https://www.instagram.com/p/Dbi2gjdOOH9/,July Dump 💋,NOT_WEDDING,0.95,"""July Dump"" — a personal photo recap mixing July 4th party, dinner party, grooming, and WNBA weekend. No couple, no wedding narrative, no date."
677,anitadeeyachtcharters,https://www.instagram.com/p/DZswzRfEYu0/,Me next Friday ✌️🌇😁🍻🕺🪩🌊🌃🤣🍕🫂😎,NOT_WEDDING,0.95,"""Me next Friday"" + ""Boat Party"" + ""heading straight to @kerrymanchicago"" + ""Secure your tickets"" + ""charity partner @parklawncharity"" — this is a promotional post for an upcoming social event/fundraiser, not a documented wedding."
522,art_imagination,https://www.instagram.com/p/DYLZQlTNmWK/,We are in such awe of the support we received from our family & friends as we celebrated the arrival of our baby girl! T,NOT_WEDDING,0.95,We are in such awe of the support we received from our family & friends as we celebrated the arrival of our baby girl!
13,artifacteventschicago,https://www.instagram.com/p/CAOLs6nFxRk/,"Setting the stage; linen, lighting, china, glassware, flatware, floral. Details are what makes the design.",NOT_WEDDING,0.95,"""Setting the stage; linen, lighting, china, glassware, flatware, floral. Details are what makes the design."" — vendor showcase of design elements with no couple, no specific event date, no narrative of an actual wedding day."
1219,artinstitutechi,https://www.instagram.com/p/Db-6aa7lX9Y/,"Sometimes we have year, other times months and then occaisonally weeks regardless, creating a room people experience in ",OTHER_VENUE,0.6,"""Venue: @artinstitutespecialevents"" - the anchored account @artinstitutechi is the museum's general page, while the actual event venue handle credited is the special events team account."
127,ashyanabanquets,https://www.instagram.com/p/DB610X0vHAN/,Presenting to you our best work yet!,NOT_WEDDING,0.95,"""1stbirthday #1stbirthdayparty #birthdayparty #boybirthday"" — this is a first birthday party, not a wedding. The hashtags and bouncy castle, cake, and party theme confirm it's a child's birthday celebration."
1334,beachsideseafood,https://www.instagram.com/p/DcKVuD8Jjge/,What a weekend! 🥹 We are still floating on cloud nine reflecting on every incredible moment and feeling beyond grateful,NOT_WEDDING,0.95,"Post is a vendor recap of multiple unrelated events: ""Yelp event at @beachsideseafood,"" ""branding session,"" ""sunrise surprise proposal,"" and ""35 years of love"" anniversary party at @maggianoslittleitaly. No single wedding documented."
4,belvedereeventsandbanquets,https://www.instagram.com/p/BuIWHf6n38D/,Fun with my girls @flourflowersbymk and Victoria in the @chicago_mirror_booth at #wedbash at @belvedereeventsandbanquets,NOT_WEDDING,0.95,"""Fun with my girls @flourflowersbymk and Victoria in the @chicago_mirror_booth at #wedbash"" — vendor networking event, not a documented wedding"
525,boweryandbash,https://www.instagram.com/p/DYQBocdmaoV/,"Bold color, layered texture, and a story that feels transported.",NOT_WEDDING,0.95,"""This Havana-inspired shoot brought a completely different energy into the space"" + ""#StyledShoot"" + no couple named, no real wedding narrative"
9,bridgeportartcenter,https://www.instagram.com/p/B_2jHTYl4Ga/,When a room is just dripping in lights!,NOT_WEDDING,0.95,"""When a room is just dripping in lights!"" -- generic vendor showcase of lighting design with no couple, no specific wedding date, no narrative of an actual event. Full vendor credit stack but no evidence of a documented real wedding."
254,brookfieldzoo,https://www.instagram.com/p/DQUCjd1Duhr/,If you’re just looking for a photoshoot on your wedding day- keep scrolling ✨ ,NOT_WEDDING,0.95,"""If you're just looking for a photoshoot on your wedding day- keep scrolling"" + ""my job hasn't changed...storybook of what makes your wedding day reflect you"" — vendor philosophy pitch, no specific couple or documented event."
872,brooklynbotanic,https://www.instagram.com/p/Da3D3w4kWRN/,"Pink for breakfast, lunch, and dinner please!!! 💕🌸🌷🩰👛",NOT_WEDDING,0.95,"Caption is a vendor showcase (""Pink for breakfast, lunch, and dinner"") with full vendor credit stack but no couple name, no wedding date, no narrative of an actual event—only aesthetic styling language."
1279,carnegiehall,https://www.instagram.com/p/DcFaZFvthCt/,"SUNDAY, 9:20 AM- WATCH LIVE — Daniel Razminia (@danielrazminia) will be performing in the Final Rounds of the Toronto In",NOT_WEDDING,0.99,"Piano competition announcement: ""Daniel Razminia will be performing in the Final Rounds of the Toronto International Piano Competition - Intermediate Division"""
1054,carnivalechi,https://www.instagram.com/p/Db1PrdYFHbM/,"Limited tickets are still available for the Authenticity Party on Sunday, August 16th!",NOT_WEDDING,0.95,"""Authenticity Party on Sunday, August 16th... eccentric and authentic brunch party with buffet, mocktails, dancing, self-love activities"" — a community event, not a wedding."
1092,castelfalfi,https://www.instagram.com/p/Dboa9rXCb_3/,Remember when #TravelTuesday was a thing? We think it’s time to bring it back… wedding edition. ✈️🤍,NOT_WEDDING,0.95,"Venue marketing/destination pitch: ""It's one of those rare destinations that checks every box...we recommend it so often."" No couple named, no specific wedding documented, engagement question to followers."
422,catalyst.ranch,https://www.instagram.com/p/DWpRkXZkc4m/,Thank you to our March 2026 Thursday Therapy sponsors! Please give them a like and follow!,NOT_WEDDING,0.95,"""Thank you to our March 2026 Thursday Therapy sponsors!"" -- vendor/event-organizer marketing post promoting sponsorship opportunities, not a documented wedding."
429,celebrateatbloom,https://www.instagram.com/p/DWy2QWCk5xO/,"We’re proud to recognize our Diamond Sponsors, whose support helps make the Sparks Awards an unforgettable celebration.",NOT_WEDDING,0.99,"This is a vendor sponsorship announcement for the Sparks Awards, an industry event by ILEA. It recognizes Diamond Sponsors (@celebratebloom, @beatmixchicago, @tablescapeseventrentals) but documents no specific couple or wedding."
648,centreproductions_,https://www.instagram.com/p/DZawTBsmg3w/,Noam the GOAT. 🐐⚽️,NOT_WEDDING,0.99,"This is a Bar Mitzvah, not a wedding. Caption: ""this Bar Mitzvah was filled with laughter, great music, and memories made with the people who matter most."""
293,charcoalfactoryloft,https://www.instagram.com/p/DSxhwN1kdP4/,Tis the season of Marry Me♥️🎄,NOT_WEDDING,0.95,"This engagement was wrapped in everything Anna loves... Her fiancé Onel planned the sweetest proposal, and we were honored to help bring it to life at @charcoalfactoryloft"
421,chezeventvenue,https://www.instagram.com/p/DW1bZR1kypH/,BIRTHDAY WEEK IS HERE 🎂🎉🩷✨,NOT_WEDDING,0.95,"BIRTHDAY WEEK IS HERE 🎂🎉🩷✨...Join the neighborhood this Thursday April 9th, 8pm-12am at @chezeventvenue...Chapter 30: A Celebration with Purpose"
153,chicagoathletichotel,https://www.instagram.com/p/DGoBAy6CA6X/,"Our very own Alyssa, Associate Designer at Grace + Ivory, didn’t just find her perfect wedding dress—she designed it. ",NOT_WEDDING,0.95,"""part 1 of Lyssa's Legacy Diaries; a little about her proposal and her thoughts when designing her dress"" — this is an engagement/pre-wedding announcement, not a documented wedding reception."
