audit_bucket,post_url,final_decision,confidence,tier,model,exclusion_reason,is_wedding,is_real_wedding,is_chicago,is_credible_source,event_date,event_date_confidence,owner_username,archetype,is_wedding_industry,location_tag,likes_count,post_timestamp,evidence,caption_excerpt,hashtags
random_50,https://www.instagram.com/p/C-df6lhuTD4/,REVIEW,0.55,expensive_model,anthropic/claude-sonnet-5,,t,t,,t,,,autumnsilvaphotography,wedding_photographer,t,Villa Terrace,,2024-08-09 19:28:46,"[{""claim"": ""is_wedding"", ""signal"": ""\""Chris and I are so thankful for everything you did for us leading up to and on our wedding day.\"""", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named individual (Chris), explicit wedding day reference, testimonial about specific real photography experience"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""Posting account is the photographer's own profile, account_archetype_prior wedding_photographer confidence 0.98"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago location signal"", ""signal"": ""location_tag: Villa Terrace"", ""source_field"": ""location_tag""}, {""claim"": ""chicago uncertainty"", ""signal"": ""Villa Terrace is a known venue name in Milwaukee (Villa Terrace Decorative Arts Museum), not confirmed Chicago venue; vendor is Chicago-based but that doesn't confirm event location"", ""source_field"": ""location_tag""}]","Real couple review! 

“We can’t even begin to express how amazing and talented you are. Your attention to detail and ability to capture every moment of our special day is unparalleled. Working with you was such a pleasure. Chris and I are so thankful for everything you did for us leading up to and on our wedding day. You were hands down our favorite vendor and you truly went above and beyond for u",
random_50,https://www.instagram.com/p/DcHZQfflhzS/,REVIEW,0.55,expensive_model,anthropic/claude-sonnet-5,insufficient_evidence,t,t,,t,,,danielleheinsonphotography,wedding_photographer,t,The BRIX on the Fox,75,2026-08-16 21:09:07,"[{""claim"": ""is_wedding"", ""signal"": ""M+B's wedding yesterday was the perfect summer affair"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""named couple initials M+B plus explicit wedding language 'wedding yesterday' and photographer recounting personal experience shooting them"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior wedding_photographer confidence 0.98, own post"", ""source_field"": ""account_category""}, {""claim"": ""location ambiguity for Chicago"", ""signal"": ""location_tag 'The BRIX on the Fox' (a venue in St. Charles, IL area) alongside hashtags for chicagoweddingphotographer, milwaukeeweddingphotographer, detroitweddingphotographer, michiganweddingphotographer"", ""source_field"": ""location_tag""}, {""claim"": ""vendor home base not proof of event location"", ""signal"": ""vendor_city Chicago is vendor's business address, not the wedding location"", ""source_field"": ""account_bio""}]","M+B’s wedding yesterday was the perfect summer affair: a beautiful setting, stunning colors, and alllll the fun summer vibes 🙌🏻 These two are just so clearly in love, every time I’ve had the opportunity to photograph them, it has truly been the best 🥰
.
#chicagoweddingphotographer #milwaukeeweddingphotographer #detroitweddingphotographer #michiganweddingphotographer #illinoisweddingphotographer  C","[""chicagoweddingphotographer"", ""milwaukeeweddingphotographer"", ""detroitweddingphotographer"", ""michiganweddingphotographer"", ""illinoisweddingphotographer""]"
random_50,https://www.instagram.com/p/C4URLuXoL8Y/,REVIEW,0.55,expensive_model,anthropic/claude-sonnet-5,insufficient_evidence,t,,,t,,,lueurbeauti,wedding_other_vendor,t,The Westin Chicago River North,19,2024-03-10 02:18:52,"[{""claim"": ""is_wedding"", ""signal"": ""'T R I C I A' named individual with bridal makeup/hair credits and #bride #shesaidyes context"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""vendor_category hair_makeup, 5 star rating 135 reviews, own profile posting"", ""source_field"": ""account_rating""}, {""claim"": ""named_individual_weak_signal"", ""signal"": ""Tricia named but no explicit wedding-day description beyond hashtags"", ""source_field"": ""caption""}, {""claim"": ""conflicting_location_signals"", ""signal"": ""hashtags include both #chicagowedding and #destinationwedding, plus geotag The Westin Chicago River North"", ""source_field"": ""hashtags""}, {""claim"": ""location_tag_venue"", ""signal"": ""The Westin Chicago River North"", ""source_field"": ""location_tag""}]","🤍 T R I C I A 🤍

Makeup: @lueurbeauti | Hair: @hairbylainej 

•
#love #bride #happywedding #bridetobe #shesaidyes #ido #chicagoluxurywedding #chicago #wedding #makeup #makeuptutorial #luxury #luxurybridal #chicagomakeupartist #chicagohairstylist #destinationwedding #instagood #bridalglam #vueveclicquot #entrepreneur #bridalmakeup #bridalhairstyle #chicagowedding #perfection","[""love"", ""bride"", ""happywedding"", ""bridetobe"", ""shesaidyes"", ""ido"", ""chicagoluxurywedding"", ""chicago"", ""wedding"", ""makeup"", ""makeuptutorial"", ""luxury"", ""luxurybridal"", ""chicagomakeupartist"", ""chicagohairstylist"", ""destinationwedding"", ""instagood"", ""bridalglam"", ""vueveclicquot"", ""entrepreneur"", ""bridalmakeup"", ""bridalhairstyle"", ""chicagowedding"", ""perfection""]"
random_50,https://www.instagram.com/p/DLdHvDevUOF/,REVIEW,0.5,expensive_model,anthropic/claude-sonnet-5,insufficient_evidence,t,t,,t,,,marktrelaphotography,wedding_photographer,t,,29,2025-06-28 18:45:36,"[{""claim"": ""is_wedding"", ""signal"": ""Samuel and Leah are getting married today. The wedding I’ve been looking forward to the most this year so far."", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named couple (Samuel and Leah) plus explicit statement of a specific wedding happening today, photographer personally engaged with the couple"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""Posting account is Mark Trela Photography, a credible photographer with 5-star rating, 50 reviews, account_archetype_prior wedding_photographer 0.99"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago_uncertain"", ""signal"": ""Only hashtags #chicagoweddingphotographer and #chicagowedding indicate vendor's branding, no explicit venue or location tag confirming the wedding itself took place in Chicago"", ""source_field"": ""hashtags""}]","Samuel and Leah are getting married today. The wedding I’ve been looking forward to the most this year so far. These two are the kindest, sweetest human beings one can imagine to be photographing.
.
#chicagoweddingphotographer #chicagowedding","[""chicagoweddingphotographer"", ""chicagowedding""]"
random_50,https://www.instagram.com/p/Dbd6S01kdg2/,REVIEW,0.5,expensive_model,anthropic/claude-sonnet-5,insufficient_evidence,t,t,t,t,,,willowimage,wedding_photographer,t,"Chicago, Illinois",22,2026-07-31 18:29:42,"[{""claim"": ""is_wedding"", ""signal"": ""more from Amy + Adam ❣️ ... #chicagoweddingphotographer #chicagowedding"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named couple 'Amy + Adam' combined with wedding-specific hashtags (#chicagowedding, #weddingphotography) from a photographer's own account documenting a specific shoot"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior wedding_photographer confidence 0.95; own profile posting"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag: Chicago, Illinois"", ""source_field"": ""location_tag""}]","more from Amy + Adam ❣️

#chicagophotographer #chicagoweddingphotographer #chicagowedding #weddingphotography #chicago","[""chicagophotographer"", ""chicagoweddingphotographer"", ""chicagowedding"", ""weddingphotography"", ""chicago""]"
random_50,https://www.instagram.com/p/DTss_0XDonP/,REVIEW,0.5,expensive_model,anthropic/claude-sonnet-5,insufficient_evidence,t,t,,t,,,djdjones,wedding_videographer,t,,20,2026-01-19 16:16:31,"[{""claim"": ""is_wedding/is_real_wedding"", ""signal"": ""With Gina & Alex, the story wasn't just told, it danced."", ""source_field"": ""caption""}, {""claim"": ""multi-vendor stack for same event"", ""signal"": ""Photography: @clarypfeiffer Videography: @hwustudios Entertainment: @djdjones of @sparkentgroup Planner: @lolaeventpros"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""posting account is vendor's own profile, DJ D. Jones, Chicago-based, rating 5"", ""source_field"": ""account_bio""}, {""claim"": ""known vendor corroboration"", ""signal"": ""lolaeventpros flagged as in_metro true"", ""source_field"": ""cross_reference""}, {""claim"": ""no location evidence for wedding itself"", ""signal"": ""location_tag: (none); no venue or city mentioned about the event"", ""source_field"": ""location_tag""}]","Love is movement.
It laughs. It spins. It pulls people closer.

With Gina & Alex, the story wasn’t just told, it danced.
From the first quiet moments to the kind of joy that fills a room, music became the language their love spoke most fluently.

This is why I do what I do.
Because when the right song meets the right people, celebration becomes effortless and the night remembers itself.

Here’s to","[""DJDJones"", ""SparkEntertainmentGroup"", ""LuxuryWeddingDJ"", ""WeddingMusicMatters""]"
random_50,https://www.instagram.com/p/DO3qg-aEZLo/,REVIEW,0.5,expensive_model,anthropic/claude-sonnet-5,insufficient_evidence,t,t,,t,,,weddingbug_studios,wedding_photographer,t,,13,2025-09-21 15:43:57,"[{""claim"": ""is_wedding"", ""signal"": ""Harmony & Tyler 🌹 with wedding hashtags"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named couple 'Harmony & Tyler' paired with wedding-specific hashtags like #weddingday, #bride"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior wedding_photographer confidence 0.98, own profile posting"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago unclear"", ""signal"": ""No location tag, hashtags mention both #beachwedding and #fallwedding which conflict, no venue or city named for the event"", ""source_field"": ""hashtags""}, {""claim"": ""vendor_city is Chicago but not proof of event location"", ""signal"": ""vendor_city: Chicago"", ""source_field"": ""account_bio""}]","Harmony & Tyler 🌹
.
.
#weddingphotography #wedding #weddinginspiration #weddingday #bride #beachwedding #summerwedding #videography #photography #details #fallwedding #fall #autumn #fallvibes","[""weddingphotography"", ""wedding"", ""weddinginspiration"", ""weddingday"", ""bride"", ""beachwedding"", ""summerwedding"", ""videography"", ""photography"", ""details"", ""fallwedding"", ""fall"", ""autumn"", ""fallvibes""]"
random_50,https://www.instagram.com/p/DC5IzFOvJMI/,REVIEW,0.5,expensive_model,anthropic/claude-sonnet-5,insufficient_evidence,t,t,,t,,,williams_emily,wedding_photographer,t,,124,2024-11-27 23:11:04,"[{""claim"": ""is_wedding"", ""signal"": ""\""a little extra thankful for Maddie + Jack as I hit send on their gallery today\"""", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named couple Maddie + Jack, explicit reference to wedding gallery delivery and inquiry story"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior wedding_photographer confidence 0.98, own profile posting"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago"", ""signal"": ""No location tag or city mentioned for the wedding itself; vendor_city Chicago is only vendor home base, not proof of event location"", ""source_field"": ""location_tag""}]","The Thanksgiving break is finally here and my out of office is officially on (but not until I hit send on one more wedding gallery so it could get to its home for the holiday weekend)!!! I’m thankful for this job every day, but a little extra thankful for Maddie + Jack as I hit send on their gallery today. Back when she first inquired with me Maddie said “you are literally the only thing I’m sure ",
random_50,https://www.instagram.com/p/DE50VlzP6jo/,REVIEW,0.5,expensive_model,anthropic/claude-sonnet-5,,t,t,,t,,,diamondpeakfilms,wedding_videographer,t,"Chicago, Illinois",61,2025-01-16 22:40:59,"[{""claim"": ""is_wedding/is_real_wedding"", ""signal"": ""Named individuals tagged (@ktrichter, @jakerichter) plus multi-vendor stack including planner, beauty, hair, band, florist all crediting same event"", ""source_field"": ""mentions""}, {""claim"": ""is_real_wedding_support"", ""signal"": ""'The moment you found her 💛' suggests a specific first-look moment captured on video"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""Posting account is a wedding videographer's own profile, account_archetype_prior wedding_videographer 0.95"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago_conflict"", ""signal"": ""location_tag says Chicago, Illinois but hashtag #lakegenevawedding suggests Lake Geneva, WI venue"", ""source_field"": ""hashtags""}, {""claim"": ""is_chicago_conflict2"", ""signal"": ""IG geotag Chicago, Illinois"", ""source_field"": ""location_tag""}]","The moment you found her 💛

@ktrichter 
@jakerichter 
@ohanaeventsinc 
@kristina.lorraine 
@heyjimmyband 
@bsansostiartistry 
@hairbybesa_ 
@frontierflowersoffontana 

#diamondpeakfilms #chicagoweddingvideographer #chicagowedding #lakegenevawedding #weddingvideography #chicagoweddingvideography","[""diamondpeakfilms"", ""chicagoweddingvideographer"", ""chicagowedding"", ""lakegenevawedding"", ""weddingvideography"", ""chicagoweddingvideography""]"
random_50,https://www.instagram.com/p/DQ902l0EdwH/,REVIEW,0.5,expensive_model,anthropic/claude-sonnet-5,insufficient_evidence,t,t,t,t,,,alishatova,wedding_photographer,t,"Chicago, Illinois",902,2025-11-12 18:12:31,"[{""claim"": ""is_wedding"", ""signal"": ""What a cute duo on their chill wedding day."", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Mixture of film and digital as always. What a cute duo on their chill wedding day."", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior: wedding_photographer (confidence 0.98), posting own work"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago_location"", ""signal"": ""location_tag: Chicago, Illinois"", ""source_field"": ""location_tag""}, {""claim"": ""weak_specificity"", ""signal"": ""No named couple, no venue, no date - only 'cute duo' and 'chill wedding day' as identifying details"", ""source_field"": ""caption""}]","Wedding season please don’t leave me!!! But also kinda ready for things to slow down a bit 😅

What a cute duo on their chill wedding day. Mixture of film and digital as always.",
